@relation Dataset_abPAPph
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
6.1,13.2,21.93,5.83,'14'
4.3,10.1,20.02,5.87,'14'
5.7,12.5,26.45,5.8,'14'
6.3,12.6,24.7,5.9,'14'
4.4,13.3,28.75,5.69,'14'
6.7,15.4,24.42,5.77,'14'
8.8,17.3,27.86,5.7,'14'
4.6,14.2,20.79,5.58,'14'
4.1,13.1,26.48,5.98,'14'
8.3,16.4,30.37,5.61,'14'
6.8,13.1,29.99,5.7,'14'
7.7,14.4,24.9,5.84,'14'
5.8,16.4,28.49,5.72,'14'
6.3,13.2,27.24,5.7,'14'
4.6,12,21.07,6.02,'14'
6.5,17.9,30.1,5.62,'14'
6.8,14.7,34.52,5.53,'14'
5.5,12.7,33.31,5.54,'14'
5.5,16.1,33.04,5.75,'14'
5.3,14.7,29.02,5.74,'14'
5,12,32.73,5.7,'14'
5.9,13.9,23.58,5.7,'14'
7.8,12.3,24.92,5.63,'14'
4.1,12.2,31.6,5.75,'14'
4.8,11,28.22,5.86,'14'
6.7,13.5,22.69,5.88,'14'
5.7,13.1,29.42,5.82,'14'
5.4,15.3,32.84,5.59,'14'
6.6,15.5,28.43,5.71,'14'
6.1,16.2,32.41,5.68,'14'
4.2,13.7,26.36,5.68,'14'
8.4,15.6,30.4,5.8,'14'
6.8,13.2,24.73,5.96,'14'
4.5,12.6,33.47,5.8,'14'
4.9,13.5,28.22,6.01,'14'
6,16,30.14,5.81,'14'
6.5,14.7,30.39,5.88,'14'
3.9,11.1,27.53,5.9,'14'
4.7,14.5,22.94,5.63,'14'
